50	34919
47	31487
260	30212
110	27552
32	24613
1	23259
293	21303
150	20754
111	18929
223	13503
6	12277
165	11967
253	10940
34	10737
16	10704
288	9719
21	9694
10	8769
25	8650
161	8620
231	8515
36	8280
39	8161
235	7527
292	6756
17	6754
70	5980
141	5937
104	5831
2	5821
163	5759
246	5169
11	5095
266	4852
265	4831
208	4829
153	4555
62	4403
29	4367
58	4110
151	3971
180	3968
145	3865
247	3738
215	3570
185	3555
19	3482
198	3365
95	3355
162	3302
45	3090
194	3081
272	3065
112	3063
232	2872
52	2793
216	2690
261	2673
282	2588
22	2548
230	2520
101	2480
224	2473
225	2445
175	2354
236	2313
290	2287
105	2234
18	2149
170	1988
196	1967
172	1959
147	1932
280	1930
48	1930
31	1918
69	1889
249	1820
168	1820
7	1786
97	1733
41	1687
277	1674
125	1621
173	1603
222	1583
158	1575
252	1563
273	1551
123	1531
281	1521
144	1509
3	1490
24	1487
44	1461
14	1424
164	1402
154	1382
233	1299
94	1247
176	1231
186	1224
5	1143
262	1110
204	1094
160	1093
237	1087
28	1058
229	1008
203	1006
207	988
107	986
159	944
23	942
213	935
73	905
60	900
257	898
88	880
218	866
82	859
256	857
81	836
188	792
85	780
26	763
193	723
86	678
199	656
89	639
57	626
135	608
267	573
227	573
63	564
276	558
239	550
42	548
43	534
289	529
100	517
72	512
214	511
156	508
46	507
122	502
149	501
20	493
76	484
171	464
117	461
35	440
30	428
259	426
157	424
190	414
205	405
140	386
177	384
79	384
195	366
206	352
242	352
65	349
12	345
279	338
155	333
15	323
187	320
248	319
121	318
13	314
4	310
27	301
9	298
74	291
234	281
132	256
68	254
116	251
78	240
268	234
92	210
269	205
271	205
183	202
166	201
80	196
278	189
55	189
40	183
61	180
250	178
294	176
211	173
178	172
263	170
93	165
275	163
191	161
152	157
103	157
174	155
270	153
99	152
96	145
83	140
219	140
8	137
118	131
179	118
181	114
182	113
113	109
240	103
169	99
209	98
71	97
202	95
217	90
64	89
238	88
274	84
254	84
184	82
241	82
114	78
258	78
228	77
77	76
255	76
126	74
49	73
59	73
124	72
287	70
251	68
210	65
148	65
66	63
264	63
283	59
54	58
53	58
38	54
102	52
295	52
131	49
106	48
87	47
189	46
136	45
84	41
90	40
245	34
201	30
244	28
146	28
200	27
137	27
119	27
128	26
220	25
129	23
212	23
197	22
67	22
243	19
115	17
120	16
192	16
138	15
75	15
167	14
37	13
130	13
33	12
142	11
134	10
127	10
98	9
286	8
108	7
285	7
226	6
139	5
284	4
143	2
133	2
109	1
56	1
51	1
